on_r,off_r_159,on_l,off_l_119,on_before_cal,az_source,alt_source
371.04,338.54,368.89,366.36,203.01,139,60
371.6,341.35,369.25,366.73,202.91,,
368.14,341.75,369.13,366.98,203.27,,
368.75,363.23,369.97,367.21,203.1,,
368.2,362.66,369.57,367.64,,,
368.62,362.66,370.02,368.31,,,
368.75,363.92,369.78,367.83,,,
369.75,363.06,369.99,368.03,,,
371.01,363.73,372.18,372.26,,,
371.67,364.88,370.1,372.02,,,
371.58,365.17,370.26,371.78,,,
371.76,364.42,370.28,372.23,,,
371.07,363.55,372.04,,,,
371.05,364.55,373.39,,,,
371.45,364.51,374.07,,,,
370.93,365.4,373.42,,,,
